Laser duration (ns) - Raw	Counts - Raw	Laser duration (ns) - Filtered	Counts - Filtered	
0	4	0	4	
25	5	25	5	
50	6	50	6	
75	4	75	4	
100	1	100	1	
125	4	125	4	
150	4	150	4	
175	3	175	3	
200	747	200	747	
225	16355	225	16355	
250	47365	250	47365	
275	62970	275	62970	
300	59013	300	59013	
325	55485	325	55485	
350	52535	350	52535	
375	50275	375	50275	
400	47755	400	47755	
425	45909	425	45909	
450	44242	450	44242	
475	42499	475	42499	
500	41164	500	41164	
525	40024	525	40024	
550	38173	550	38173	
575	37523	575	37523	
600	36202	600	36202	
625	35438	625	35438	
650	34323	650	34323	
675	33415	675	33415	
700	32652	700	32652	
725	31643	725	31643	
750	30636	750	30636	
775	30197	775	30197	
800	29354	800	29354	
825	28564	825	28564	
850	27865	850	27865	
875	27042	875	27042	
900	26698	900	26698	
925	26148	925	26148	
950	25100	950	25100	
975	24747	975	24747	
1000	23972	1000	23972	
1025	23740	1025	23740	
1050	23047	1050	23047	
1075	22562	1075	22562	
1100	22506	1100	22506	
1125	21781	1125	21781	
1150	21272	1150	21272	
1175	20778	1175	20778	
1200	20047	1200	20047	
1225	20012	1225	20012	
1250	19654	1250	19654	
1275	19136	1275	19136	
1300	18695	1300	18695	
1325	18364	1325	18364	
1350	17886	1350	17886	
1375	17677	1375	17677	
1400	17519	1400	17519	
1425	17096	1425	17096	
1450	16487	1450	16487	
1475	16205	1475	16205	
1500	15897	1500	15897	
1525	15880	1525	15880	
1550	15374	1550	15374	
1575	15097	1575	15097	
1600	14827	1600	14827	
1625	14446	1625	14446	
1650	14338	1650	14338	
1675	13990	1675	13990	
1700	13671	1700	13671	
1725	13449	1725	13449	
1750	13216	1750	13216	
1775	13055	1775	13055	
1800	12794	1800	12794	
1825	12481	1825	12481	
1850	12251	1850	12251	
1875	11939	1875	11939	
1900	12012	1900	12012	
1925	11652	1925	11652	
1950	11432	1950	11432	
1975	11175	1975	11175	
2000	11014	2000	11014	
2025	10814	2025	10814	
2050	10565	2050	10565	
2075	10328	2075	10328	
2100	10341	2100	10341	
2125	10189	2125	10189	
2150	9880	2150	9880	
2175	9990	2175	9990	
2200	9614	2200	9614	
2225	9521	2225	9521	
2250	9308	2250	9308	
2275	9158	2275	9158	
2300	8933	2300	8933	
2325	8634	2325	8634	
2350	8613	2350	8613	
2375	8460	2375	8460	
2400	8285	2400	8285	
2425	8207	2425	8207	
2450	8006	2450	8006	
2475	7898	2475	7898	
2500	7797	2500	7797	
2525	7700	2525	7700	
2550	7521	2550	7521	
2575	7281	2575	7281	
2600	7314	2600	7314	
2625	7177	2625	7177	
2650	7053	2650	7053	
2675	6906	2675	6906	
2700	6682	2700	6682	
2725	6722	2725	6722	
2750	6684	2750	6684	
2775	6421	2775	6421	
2800	6325	2800	6325	
2825	6481	2825	6481	
2850	6248	2850	6248	
2875	5931	2875	5931	
2900	5911	2900	5911	
2925	5789	2925	5789	
2950	5739	2950	5739	
2975	5777	2975	5777	
3000	5627	3000	5627	
