Laser duration (ns) - Raw	Counts - Raw	Laser duration (ns) - Filtered	Counts - Filtered	
0	0	0	0	
25	2	25	2	
50	0	50	0	
75	0	75	0	
100	4	100	4	
125	2	125	2	
150	2	150	2	
175	2	175	2	
200	73	200	73	
225	1617	225	1617	
250	5938	250	5938	
275	8852	275	8852	
300	8549	300	8549	
325	8007	325	8007	
350	7739	350	7739	
375	7298	375	7298	
400	6935	400	6935	
425	6800	425	6800	
450	6557	450	6557	
475	6323	475	6323	
500	5948	500	5948	
525	5970	525	5970	
550	5767	550	5767	
575	5498	575	5498	
600	5482	600	5482	
625	5182	625	5182	
650	5042	650	5042	
675	4979	675	4979	
700	4741	700	4741	
725	4701	725	4701	
750	4528	750	4528	
775	4464	775	4464	
800	4269	800	4269	
825	4106	825	4106	
850	4162	850	4162	
875	4130	875	4130	
900	3972	900	3972	
925	3752	925	3752	
950	3804	950	3804	
975	3658	975	3658	
1000	3619	1000	3619	
1025	3473	1025	3473	
1050	3456	1050	3456	
1075	3323	1075	3323	
1100	3246	1100	3246	
1125	3266	1125	3266	
1150	3232	1150	3232	
1175	3043	1175	3043	
1200	3092	1200	3092	
1225	2844	1225	2844	
1250	2904	1250	2904	
1275	2801	1275	2801	
1300	2749	1300	2749	
1325	2717	1325	2717	
1350	2699	1350	2699	
1375	2616	1375	2616	
1400	2554	1400	2554	
1425	2449	1425	2449	
1450	2534	1450	2534	
1475	2388	1475	2388	
1500	2430	1500	2430	
1525	2302	1525	2302	
1550	2372	1550	2372	
1575	2238	1575	2238	
1600	2229	1600	2229	
1625	2144	1625	2144	
1650	2066	1650	2066	
1675	2029	1675	2029	
1700	1944	1700	1944	
1725	1949	1725	1949	
1750	1890	1750	1890	
1775	1938	1775	1938	
1800	1904	1800	1904	
1825	1890	1825	1890	
1850	1745	1850	1745	
1875	1738	1875	1738	
1900	1713	1900	1713	
1925	1705	1925	1705	
1950	1667	1950	1667	
1975	1587	1975	1587	
2000	1617	2000	1617	
2025	1561	2025	1561	
2050	1548	2050	1548	
2075	1592	2075	1592	
2100	1496	2100	1496	
2125	1524	2125	1524	
2150	1475	2150	1475	
2175	1363	2175	1363	
2200	1420	2200	1420	
2225	1356	2225	1356	
2250	1403	2250	1403	
2275	1374	2275	1374	
2300	1314	2300	1314	
2325	1336	2325	1336	
2350	1254	2350	1254	
2375	1258	2375	1258	
2400	1238	2400	1238	
2425	1222	2425	1222	
2450	1181	2450	1181	
2475	1154	2475	1154	
2500	1143	2500	1143	
2525	1074	2525	1074	
2550	1105	2550	1105	
2575	1052	2575	1052	
2600	1152	2600	1152	
2625	1076	2625	1076	
2650	1065	2650	1065	
2675	1026	2675	1026	
2700	1009	2700	1009	
2725	1016	2725	1016	
2750	916	2750	916	
2775	938	2775	938	
2800	933	2800	933	
2825	929	2825	929	
2850	918	2850	918	
2875	879	2875	879	
2900	907	2900	907	
2925	846	2925	846	
2950	865	2950	865	
2975	845	2975	845	
3000	815	3000	815	
3025	768	3025	768	
3050	766	3050	766	
3075	751	3075	751	
3100	706	3100	706	
3125	779	3125	779	
3150	728	3150	728	
3175	696	3175	696	
3200	739	3200	739	
3225	755	3225	755	
3250	685	3250	685	
3275	705	3275	705	
3300	722	3300	722	
3325	665	3325	665	
3350	657	3350	657	
3375	644	3375	644	
3400	611	3400	611	
3425	625	3425	625	
3450	624	3450	624	
3475	600	3475	600	
3500	601	3500	601	
3525	628	3525	628	
3550	559	3550	559	
3575	539	3575	539	
3600	562	3600	562	
3625	564	3625	564	
3650	552	3650	552	
3675	510	3675	510	
3700	501	3700	501	
3725	521	3725	521	
3750	477	3750	477	
3775	520	3775	520	
3800	464	3800	464	
3825	489	3825	489	
3850	444	3850	444	
3875	525	3875	525	
3900	464	3900	464	
3925	462	3925	462	
3950	486	3950	486	
3975	494	3975	494	
4000	409	4000	409	
4025	388	4025	388	
4050	413	4050	413	
4075	409	4075	409	
4100	439	4100	439	
4125	420	4125	420	
4150	403	4150	403	
4175	385	4175	385	
4200	389	4200	389	
4225	383	4225	383	
4250	380	4250	380	
4275	362	4275	362	
4300	355	4300	355	
4325	357	4325	357	
4350	368	4350	368	
4375	360	4375	360	
4400	357	4400	357	
4425	341	4425	341	
4450	353	4450	353	
4475	333	4475	333	
4500	326	4500	326	
4525	283	4525	283	
4550	314	4550	314	
4575	304	4575	304	
4600	322	4600	322	
4625	294	4625	294	
4650	294	4650	294	
4675	306	4675	306	
4700	295	4700	295	
4725	246	4725	246	
