Laser duration (ns) - Raw	Counts - Raw	Laser duration (ns) - Filtered	Counts - Filtered	
0	35	0	35	
25	25	25	25	
50	45	50	45	
75	50	75	50	
100	30	100	30	
125	34	125	34	
150	47	150	47	
175	45	175	45	
200	49	200	49	
225	226	225	226	
250	832	250	832	
275	1188	275	1188	
300	1235	300	1235	
325	1185	325	1185	
350	1152	350	1152	
375	1094	375	1094	
400	1064	400	1064	
425	1024	425	1024	
450	1019	450	1019	
475	971	475	971	
500	905	500	905	
525	900	525	900	
550	855	550	855	
575	831	575	831	
600	833	600	833	
625	796	625	796	
650	783	650	783	
675	786	675	786	
700	721	700	721	
725	687	725	687	
750	715	750	715	
775	697	775	697	
800	661	800	661	
825	636	825	636	
850	665	850	665	
875	615	875	615	
900	584	900	584	
925	568	925	568	
950	572	950	572	
975	595	975	595	
1000	590	1000	590	
1025	556	1025	556	
1050	530	1050	530	
1075	518	1075	518	
1100	568	1100	568	
1125	523	1125	523	
1150	500	1150	500	
1175	506	1175	506	
1200	485	1200	485	
1225	484	1225	484	
1250	467	1250	467	
1275	462	1275	462	
1300	493	1300	493	
1325	452	1325	452	
1350	444	1350	444	
1375	440	1375	440	
1400	438	1400	438	
1425	412	1425	412	
1450	405	1450	405	
1475	399	1475	399	
1500	390	1500	390	
1525	382	1525	382	
1550	359	1550	359	
1575	362	1575	362	
1600	392	1600	392	
1625	341	1625	341	
1650	361	1650	361	
1675	354	1675	354	
1700	325	1700	325	
1725	368	1725	368	
1750	298	1750	298	
1775	329	1775	329	
1800	342	1800	342	
1825	336	1825	336	
1850	300	1850	300	
1875	299	1875	299	
1900	318	1900	318	
1925	298	1925	298	
1950	287	1950	287	
1975	318	1975	318	
2000	305	2000	305	
2025	268	2025	268	
2050	267	2050	267	
2075	249	2075	249	
2100	256	2100	256	
2125	247	2125	247	
2150	251	2150	251	
2175	280	2175	280	
2200	255	2200	255	
2225	267	2225	267	
2250	261	2250	261	
2275	243	2275	243	
2300	237	2300	237	
2325	238	2325	238	
2350	256	2350	256	
2375	225	2375	225	
2400	212	2400	212	
2425	225	2425	225	
2450	241	2450	241	
2475	234	2475	234	
2500	177	2500	177	
2525	220	2525	220	
2550	198	2550	198	
2575	230	2575	230	
2600	206	2600	206	
2625	202	2625	202	
2650	188	2650	188	
2675	220	2675	220	
2700	212	2700	212	
2725	200	2725	200	
2750	178	2750	178	
2775	184	2775	184	
2800	166	2800	166	
2825	182	2825	182	
2850	180	2850	180	
2875	173	2875	173	
2900	171	2900	171	
2925	170	2925	170	
2950	152	2950	152	
2975	189	2975	189	
3000	137	3000	137	
3025	181	3025	181	
3050	157	3050	157	
3075	158	3075	158	
3100	163	3100	163	
3125	159	3125	159	
3150	153	3150	153	
3175	142	3175	142	
3200	171	3200	171	
3225	154	3225	154	
3250	157	3250	157	
3275	167	3275	167	
3300	171	3300	171	
3325	130	3325	130	
3350	144	3350	144	
3375	144	3375	144	
3400	123	3400	123	
3425	143	3425	143	
3450	136	3450	136	
3475	130	3475	130	
3500	145	3500	145	
3525	144	3525	144	
3550	132	3550	132	
3575	150	3575	150	
3600	131	3600	131	
3625	119	3625	119	
3650	137	3650	137	
3675	117	3675	117	
3700	114	3700	114	
3725	114	3725	114	
3750	126	3750	126	
3775	130	3775	130	
3800	113	3800	113	
3825	111	3825	111	
3850	112	3850	112	
3875	107	3875	107	
3900	91	3900	91	
3925	112	3925	112	
3950	101	3950	101	
3975	110	3975	110	
4000	94	4000	94	
4025	113	4025	113	
4050	122	4050	122	
4075	95	4075	95	
4100	84	4100	84	
4125	92	4125	92	
4150	97	4150	97	
4175	100	4175	100	
4200	105	4200	105	
4225	96	4225	96	
4250	102	4250	102	
4275	96	4275	96	
4300	101	4300	101	
4325	83	4325	83	
4350	91	4350	91	
4375	106	4375	106	
4400	79	4400	79	
4425	95	4425	95	
4450	85	4450	85	
4475	79	4475	79	
4500	91	4500	91	
4525	89	4525	89	
4550	83	4550	83	
4575	80	4575	80	
4600	94	4600	94	
4625	92	4625	92	
4650	103	4650	103	
4675	89	4675	89	
4700	73	4700	73	
4725	78	4725	78	
4750	88	4750	88	
4775	95	4775	95	
4800	92	4800	92	
4825	88	4825	88	
4850	75	4850	75	
4875	77	4875	77	
4900	86	4900	86	
4925	80	4925	80	
4950	74	4950	74	
4975	82	4975	82	
5000	65	5000	65	
5025	90	5025	90	
5050	83	5050	83	
5075	91	5075	91	
5100	75	5100	75	
5125	71	5125	71	
5150	79	5150	79	
5175	83	5175	83	
5200	88	5200	88	
5225	69	5225	69	
5250	73	5250	73	
5275	72	5275	72	
5300	71	5300	71	
5325	80	5325	80	
5350	55	5350	55	
5375	76	5375	76	
5400	66	5400	66	
5425	55	5425	55	
5450	72	5450	72	
5475	83	5475	83	
5500	75	5500	75	
5525	56	5525	56	
5550	68	5550	68	
5575	66	5575	66	
5600	68	5600	68	
5625	61	5625	61	
5650	74	5650	74	
5675	51	5675	51	
5700	60	5700	60	
5725	68	5725	68	
5750	60	5750	60	
5775	63	5775	63	
5800	65	5800	65	
5825	61	5825	61	
5850	61	5850	61	
5875	62	5875	62	
5900	57	5900	57	
5925	71	5925	71	
5950	67	5950	67	
5975	65	5975	65	
6000	65	6000	65	
6025	60	6025	60	
6050	48	6050	48	
6075	62	6075	62	
6100	55	6100	55	
6125	69	6125	69	
6150	69	6150	69	
6175	70	6175	70	
6200	74	6200	74	
6225	63	6225	63	
6250	55	6250	55	
6275	63	6275	63	
6300	51	6300	51	
6325	56	6325	56	
6350	55	6350	55	
6375	72	6375	72	
6400	69	6400	69	
6425	63	6425	63	
6450	55	6450	55	
6475	62	6475	62	
6500	57	6500	57	
6525	60	6525	60	
6550	47	6550	47	
6575	47	6575	47	
6600	51	6600	51	
6625	45	6625	45	
6650	63	6650	63	
6675	50	6675	50	
6700	57	6700	57	
6725	59	6725	59	
6750	48	6750	48	
6775	52	6775	52	
6800	60	6800	60	
6825	50	6825	50	
6850	59	6850	59	
6875	50	6875	50	
6900	50	6900	50	
6925	46	6925	46	
6950	56	6950	56	
6975	46	6975	46	
7000	50	7000	50	
7025	60	7025	60	
7050	50	7050	50	
7075	62	7075	62	
7100	59	7100	59	
7125	43	7125	43	
7150	40	7150	40	
7175	51	7175	51	
7200	53	7200	53	
7225	49	7225	49	
7250	48	7250	48	
7275	55	7275	55	
7300	43	7300	43	
7325	61	7325	61	
7350	39	7350	39	
7375	56	7375	56	
7400	40	7400	40	
7425	45	7425	45	
7450	46	7450	46	
7475	50	7475	50	
7500	56	7500	56	
7525	59	7525	59	
7550	50	7550	50	
7575	49	7575	49	
7600	54	7600	54	
7625	43	7625	43	
7650	53	7650	53	
7675	48	7675	48	
7700	42	7700	42	
7725	31	7725	31	
7750	47	7750	47	
7775	59	7775	59	
7800	52	7800	52	
7825	52	7825	52	
7850	34	7850	34	
7875	44	7875	44	
7900	45	7900	45	
7925	45	7925	45	
7950	39	7950	39	
7975	55	7975	55	
8000	37	8000	37	
8025	57	8025	57	
8050	30	8050	30	
8075	37	8075	37	
8100	53	8100	53	
8125	44	8125	44	
8150	41	8150	41	
8175	42	8175	42	
8200	49	8200	49	
8225	36	8225	36	
8250	45	8250	45	
8275	45	8275	45	
8300	39	8300	39	
8325	46	8325	46	
8350	39	8350	39	
8375	37	8375	37	
8400	46	8400	46	
8425	46	8425	46	
8450	39	8450	39	
8475	42	8475	42	
8500	45	8500	45	
8525	36	8525	36	
8550	33	8550	33	
8575	41	8575	41	
8600	50	8600	50	
8625	49	8625	49	
8650	51	8650	51	
8675	40	8675	40	
8700	54	8700	54	
8725	45	8725	45	
8750	57	8750	57	
8775	55	8775	55	
8800	40	8800	40	
8825	40	8825	40	
8850	43	8850	43	
8875	33	8875	33	
8900	41	8900	41	
8925	42	8925	42	
8950	46	8950	46	
8975	52	8975	52	
9000	47	9000	47	
9025	46	9025	46	
9050	41	9050	41	
9075	40	9075	40	
9100	46	9100	46	
9125	45	9125	45	
9150	35	9150	35	
9175	24	9175	24	
9200	49	9200	49	
9225	45	9225	45	
9250	49	9250	49	
9275	39	9275	39	
9300	51	9300	51	
9325	36	9325	36	
9350	47	9350	47	
9375	43	9375	43	
9400	34	9400	34	
9425	41	9425	41	
9450	37	9450	37	
9475	38	9475	38	
9500	41	9500	41	
9525	48	9525	48	
9550	39	9550	39	
9575	38	9575	38	
9600	50	9600	50	
9625	46	9625	46	
9650	56	9650	56	
9675	45	9675	45	
9700	35	9700	35	
9725	48	9725	48	
9750	43	9750	43	
9775	48	9775	48	
9800	44	9800	44	
9825	45	9825	45	
9850	45	9850	45	
9875	46	9875	46	
9900	32	9900	32	
9925	38	9925	38	
9950	40	9950	40	
9975	42	9975	42	
10000	45	10000	45	
10025	36	10025	36	
10050	38	10050	38	
10075	36	10075	36	
10100	53	10100	53	
10125	46	10125	46	
10150	45	10150	45	
10175	46	10175	46	
10200	34	10200	34	
10225	37	10225	37	
10250	40	10250	40	
10275	37	10275	37	
10300	36	10300	36	
10325	33	10325	33	
10350	40	10350	40	
10375	53	10375	53	
10400	44	10400	44	
10425	46	10425	46	
10450	33	10450	33	
10475	32	10475	32	
10500	32	10500	32	
10525	38	10525	38	
10550	36	10550	36	
10575	41	10575	41	
10600	33	10600	33	
10625	38	10625	38	
10650	32	10650	32	
10675	44	10675	44	
10700	27	10700	27	
10725	39	10725	39	
10750	42	10750	42	
10775	37	10775	37	
10800	48	10800	48	
10825	28	10825	28	
10850	38	10850	38	
10875	36	10875	36	
10900	45	10900	45	
10925	39	10925	39	
10950	47	10950	47	
10975	45	10975	45	
11000	38	11000	38	
11025	43	11025	43	
11050	47	11050	47	
11075	53	11075	53	
11100	28	11100	28	
11125	45	11125	45	
11150	42	11150	42	
11175	41	11175	41	
11200	51	11200	51	
11225	36	11225	36	
11250	46	11250	46	
11275	33	11275	33	
11300	32	11300	32	
11325	42	11325	42	
11350	44	11350	44	
11375	42	11375	42	
11400	41	11400	41	
11425	42	11425	42	
11450	35	11450	35	
11475	39	11475	39	
11500	42	11500	42	
11525	38	11525	38	
11550	32	11550	32	
11575	46	11575	46	
11600	28	11600	28	
11625	32	11625	32	
11650	40	11650	40	
11675	44	11675	44	
11700	37	11700	37	
11725	39	11725	39	
11750	40	11750	40	
11775	42	11775	42	
11800	48	11800	48	
11825	47	11825	47	
11850	46	11850	46	
11875	39	11875	39	
11900	35	11900	35	
11925	38	11925	38	
11950	42	11950	42	
11975	41	11975	41	
12000	32	12000	32	
12025	45	12025	45	
12050	49	12050	49	
12075	41	12075	41	
12100	34	12100	34	
12125	38	12125	38	
12150	44	12150	44	
12175	36	12175	36	
12200	36	12200	36	
12225	31	12225	31	
12250	41	12250	41	
12275	43	12275	43	
12300	40	12300	40	
12325	30	12325	30	
12350	31	12350	31	
12375	34	12375	34	
12400	40	12400	40	
12425	38	12425	38	
12450	42	12450	42	
12475	38	12475	38	
12500	43	12500	43	
12525	38	12525	38	
12550	48	12550	48	
12575	46	12575	46	
12600	38	12600	38	
