Laser duration (ns) - Raw	Counts - Raw	Laser duration (ns) - Filtered	Counts - Filtered	
0	2	0	2	
25	4	25	4	
50	4	50	4	
75	5	75	5	
100	5	100	5	
125	9	125	9	
150	4	150	4	
175	5	175	5	
200	35	200	35	
225	872	225	872	
250	3302	250	3302	
275	4994	275	4994	
300	4967	300	4967	
325	4781	325	4781	
350	4469	350	4469	
375	4298	375	4298	
400	4100	400	4100	
425	3947	425	3947	
450	3878	450	3878	
475	3755	475	3755	
500	3573	500	3573	
525	3491	525	3491	
550	3361	550	3361	
575	3243	575	3243	
600	3179	600	3179	
625	3032	625	3032	
650	3094	650	3094	
675	2910	675	2910	
700	2892	700	2892	
725	2789	725	2789	
750	2704	750	2704	
775	2661	775	2661	
800	2601	800	2601	
825	2547	825	2547	
850	2495	850	2495	
875	2492	875	2492	
900	2380	900	2380	
925	2252	925	2252	
950	2219	950	2219	
975	2181	975	2181	
1000	2128	1000	2128	
1025	2123	1025	2123	
1050	2049	1050	2049	
1075	1926	1075	1926	
1100	1940	1100	1940	
1125	1863	1125	1863	
1150	1836	1150	1836	
1175	1816	1175	1816	
1200	1708	1200	1708	
1225	1721	1225	1721	
1250	1764	1250	1764	
1275	1652	1275	1652	
1300	1644	1300	1644	
1325	1570	1325	1570	
1350	1582	1350	1582	
1375	1598	1375	1598	
1400	1502	1400	1502	
1425	1394	1425	1394	
1450	1446	1450	1446	
1475	1422	1475	1422	
1500	1362	1500	1362	
1525	1349	1525	1349	
1550	1327	1550	1327	
1575	1319	1575	1319	
1600	1318	1600	1318	
1625	1364	1625	1364	
1650	1295	1650	1295	
1675	1182	1675	1182	
1700	1181	1700	1181	
1725	1210	1725	1210	
1750	1196	1750	1196	
1775	1102	1775	1102	
1800	1156	1800	1156	
1825	1079	1825	1079	
1850	1080	1850	1080	
1875	1033	1875	1033	
1900	1056	1900	1056	
1925	1000	1925	1000	
1950	1044	1950	1044	
1975	969	1975	969	
2000	1006	2000	1006	
2025	972	2025	972	
2050	950	2050	950	
2075	923	2075	923	
2100	810	2100	810	
2125	927	2125	927	
2150	857	2150	857	
2175	867	2175	867	
2200	868	2200	868	
2225	816	2225	816	
2250	831	2250	831	
2275	804	2275	804	
2300	753	2300	753	
2325	834	2325	834	
2350	731	2350	731	
2375	767	2375	767	
2400	703	2400	703	
2425	699	2425	699	
2450	765	2450	765	
2475	685	2475	685	
2500	705	2500	705	
2525	647	2525	647	
2550	598	2550	598	
2575	628	2575	628	
2600	630	2600	630	
2625	630	2625	630	
2650	587	2650	587	
2675	638	2675	638	
2700	594	2700	594	
2725	541	2725	541	
2750	591	2750	591	
2775	594	2775	594	
2800	515	2800	515	
2825	575	2825	575	
2850	573	2850	573	
2875	561	2875	561	
2900	581	2900	581	
2925	514	2925	514	
2950	514	2950	514	
2975	459	2975	459	
3000	509	3000	509	
3025	498	3025	498	
3050	488	3050	488	
3075	489	3075	489	
3100	410	3100	410	
3125	451	3125	451	
3150	439	3150	439	
3175	425	3175	425	
3200	462	3200	462	
3225	435	3225	435	
3250	420	3250	420	
3275	412	3275	412	
3300	420	3300	420	
3325	435	3325	435	
3350	425	3350	425	
3375	389	3375	389	
3400	373	3400	373	
3425	366	3425	366	
3450	382	3450	382	
3475	339	3475	339	
3500	352	3500	352	
3525	380	3525	380	
3550	322	3550	322	
3575	367	3575	367	
3600	300	3600	300	
3625	356	3625	356	
3650	330	3650	330	
3675	339	3675	339	
3700	335	3700	335	
3725	322	3725	322	
3750	324	3750	324	
3775	330	3775	330	
3800	304	3800	304	
3825	306	3825	306	
3850	313	3850	313	
3875	320	3875	320	
3900	269	3900	269	
3925	304	3925	304	
3950	251	3950	251	
3975	277	3975	277	
4000	242	4000	242	
4025	284	4025	284	
4050	236	4050	236	
4075	253	4075	253	
4100	222	4100	222	
4125	265	4125	265	
4150	257	4150	257	
4175	259	4175	259	
4200	235	4200	235	
4225	228	4225	228	
4250	230	4250	230	
4275	226	4275	226	
4300	229	4300	229	
4325	215	4325	215	
4350	208	4350	208	
4375	233	4375	233	
4400	201	4400	201	
4425	217	4425	217	
4450	218	4450	218	
4475	207	4475	207	
4500	194	4500	194	
4525	200	4525	200	
4550	191	4550	191	
4575	189	4575	189	
4600	172	4600	172	
4625	184	4625	184	
4650	195	4650	195	
4675	158	4675	158	
4700	172	4700	172	
4725	158	4725	158	
4750	169	4750	169	
4775	188	4775	188	
4800	162	4800	162	
4825	151	4825	151	
4850	160	4850	160	
4875	150	4875	150	
4900	154	4900	154	
4925	152	4925	152	
4950	143	4950	143	
4975	145	4975	145	
5000	148	5000	148	
5025	138	5025	138	
5050	134	5050	134	
5075	126	5075	126	
5100	118	5100	118	
5125	120	5125	120	
5150	130	5150	130	
5175	150	5175	150	
5200	123	5200	123	
5225	137	5225	137	
5250	130	5250	130	
5275	127	5275	127	
5300	143	5300	143	
5325	129	5325	129	
5350	114	5350	114	
5375	130	5375	130	
5400	119	5400	119	
5425	129	5425	129	
5450	112	5450	112	
5475	139	5475	139	
5500	103	5500	103	
5525	107	5525	107	
5550	103	5550	103	
5575	122	5575	122	
5600	101	5600	101	
5625	103	5625	103	
5650	104	5650	104	
5675	92	5675	92	
5700	97	5700	97	
5725	102	5725	102	
5750	87	5750	87	
5775	122	5775	122	
5800	90	5800	90	
5825	81	5825	81	
5850	102	5850	102	
5875	89	5875	89	
5900	114	5900	114	
5925	74	5925	74	
5950	87	5950	87	
5975	98	5975	98	
6000	91	6000	91	
6025	74	6025	74	
6050	85	6050	85	
6075	95	6075	95	
6100	91	6100	91	
6125	88	6125	88	
6150	83	6150	83	
6175	76	6175	76	
6200	100	6200	100	
6225	85	6225	85	
6250	93	6250	93	
6275	79	6275	79	
6300	84	6300	84	
6325	69	6325	69	
6350	74	6350	74	
6375	62	6375	62	
6400	63	6400	63	
6425	75	6425	75	
6450	86	6450	86	
6475	75	6475	75	
6500	70	6500	70	
6525	77	6525	77	
6550	70	6550	70	
6575	77	6575	77	
6600	49	6600	49	
6625	71	6625	71	
6650	77	6650	77	
6675	61	6675	61	
6700	64	6700	64	
6725	67	6725	67	
6750	56	6750	56	
6775	74	6775	74	
6800	49	6800	49	
6825	59	6825	59	
6850	60	6850	60	
6875	61	6875	61	
6900	72	6900	72	
6925	64	6925	64	
6950	60	6950	60	
6975	51	6975	51	
7000	54	7000	54	
7025	56	7025	56	
7050	50	7050	50	
7075	43	7075	43	
7100	41	7100	41	
7125	63	7125	63	
7150	50	7150	50	
7175	58	7175	58	
7200	65	7200	65	
7225	40	7225	40	
7250	47	7250	47	
7275	35	7275	35	
7300	53	7300	53	
7325	47	7325	47	
7350	44	7350	44	
7375	39	7375	39	
7400	56	7400	56	
7425	36	7425	36	
7450	45	7450	45	
7475	31	7475	31	
7500	52	7500	52	
7525	44	7525	44	
7550	37	7550	37	
7575	41	7575	41	
7600	45	7600	45	
7625	40	7625	40	
7650	42	7650	42	
7675	47	7675	47	
7700	43	7700	43	
