Laser duration (ns) - Raw	Counts - Raw	Laser duration (ns) - Filtered	Counts - Filtered	
0	2	0	2	
25	5	25	5	
50	5	50	5	
75	2	75	2	
100	4	100	4	
125	2	125	2	
150	6	150	6	
175	6	175	6	
200	14	200	14	
225	230	225	230	
250	739	250	739	
275	1391	275	1391	
300	1990	300	1990	
325	2515	325	2515	
350	3037	350	3037	
375	3560	375	3560	
400	4027	400	4027	
425	4461	425	4461	
450	4989	450	4989	
475	5366	475	5366	
500	5732	500	5732	
525	6126	525	6126	
550	6595	550	6595	
575	7049	575	7049	
600	7401	600	7401	
625	7699	625	7699	
650	8018	650	8018	
675	8512	675	8512	
700	8834	700	8834	
725	9107	725	9107	
750	9516	750	9516	
775	9451	775	9451	
800	10011	800	10011	
825	10388	825	10388	
850	10570	850	10570	
875	10822	875	10822	
900	11462	900	11462	
925	11493	925	11493	
950	11689	950	11689	
975	11954	975	11954	
1000	11966	1000	11966	
1025	12467	1025	12467	
1050	12463	1050	12463	
1075	12833	1075	12833	
1100	13375	1100	13375	
1125	13294	1125	13294	
1150	13729	1150	13729	
1175	13851	1175	13851	
1200	13893	1200	13893	
1225	14117	1225	14117	
1250	14187	1250	14187	
1275	14738	1275	14738	
1300	14879	1300	14879	
1325	14978	1325	14978	
1350	15264	1350	15264	
1375	15359	1375	15359	
1400	15499	1400	15499	
1425	15594	1425	15594	
1450	15777	1450	15777	
1475	16026	1475	16026	
1500	16254	1500	16254	
1525	16302	1525	16302	
1550	16509	1550	16509	
1575	16648	1575	16648	
1600	16816	1600	16816	
1625	16937	1625	16937	
1650	17135	1650	17135	
1675	17115	1675	17115	
1700	17392	1700	17392	
1725	17601	1725	17601	
1750	17636	1750	17636	
1775	17955	1775	17955	
1800	17940	1800	17940	
1825	18244	1825	18244	
1850	17926	1850	17926	
1875	18327	1875	18327	
1900	18521	1900	18521	
1925	18758	1925	18758	
1950	18466	1950	18466	
1975	19292	1975	19292	
2000	18925	2000	18925	
2025	18772	2025	18772	
2050	19147	2050	19147	
2075	19142	2075	19142	
2100	19480	2100	19480	
2125	19590	2125	19590	
2150	19793	2150	19793	
2175	19812	2175	19812	
2200	19692	2200	19692	
2225	19902	2225	19902	
2250	20108	2250	20108	
2275	19878	2275	19878	
2300	19994	2300	19994	
2325	20014	2325	20014	
2350	20173	2350	20173	
2375	20315	2375	20315	
2400	20399	2400	20399	
2425	20827	2425	20827	
2450	20588	2450	20588	
2475	20724	2475	20724	
2500	20863	2500	20863	
2525	20694	2525	20694	
2550	20735	2550	20735	
2575	20835	2575	20835	
2600	21059	2600	21059	
2625	20973	2625	20973	
2650	21389	2650	21389	
2675	21327	2675	21327	
2700	21542	2700	21542	
2725	21445	2725	21445	
2750	21503	2750	21503	
2775	21533	2775	21533	
2800	21782	2800	21782	
2825	22005	2825	22005	
2850	21817	2850	21817	
2875	21870	2875	21870	
2900	22257	2900	22257	
2925	21893	2925	21893	
2950	21982	2950	21982	
2975	22107	2975	22107	
3000	22211	3000	22211	
3025	21888	3025	21888	
3050	22345	3050	22345	
3075	22355	3075	22355	
3100	22447	3100	22447	
3125	22221	3125	22221	
3150	22440	3150	22440	
3175	22596	3175	22596	
3200	22428	3200	22428	
3225	22328	3225	22328	
3250	22444	3250	22444	
3275	22624	3275	22624	
3300	22803	3300	22803	
3325	23023	3325	23023	
3350	22847	3350	22847	
3375	22700	3375	22700	
3400	23034	3400	23034	
3425	22991	3425	22991	
3450	23037	3450	23037	
3475	23241	3475	23241	
3500	23051	3500	23051	
3525	23150	3525	23150	
3550	23417	3550	23417	
3575	23303	3575	23303	
3600	23377	3600	23377	
3625	23193	3625	23193	
3650	23536	3650	23536	
3675	23638	3675	23638	
3700	23396	3700	23396	
3725	23357	3725	23357	
3750	23685	3750	23685	
3775	23686	3775	23686	
3800	23654	3800	23654	
3825	23650	3825	23650	
3850	23521	3850	23521	
3875	23802	3875	23802	
3900	23638	3900	23638	
3925	23851	3925	23851	
3950	24012	3950	24012	
3975	23871	3975	23871	
4000	24081	4000	24081	
4025	23881	4025	23881	
4050	23876	4050	23876	
4075	24083	4075	24083	
4100	23944	4100	23944	
4125	23884	4125	23884	
4150	23945	4150	23945	
4175	23905	4175	23905	
4200	24103	4200	24103	
4225	24087	4225	24087	
4250	24164	4250	24164	
4275	24165	4275	24165	
4300	24082	4300	24082	
4325	24495	4325	24495	
4350	24461	4350	24461	
4375	24026	4375	24026	
4400	24254	4400	24254	
4425	24170	4425	24170	
4450	24581	4450	24581	
4475	24166	4475	24166	
4500	24397	4500	24397	
4525	24560	4525	24560	
4550	24204	4550	24204	
4575	24279	4575	24279	
4600	24615	4600	24615	
4625	24613	4625	24613	
4650	24450	4650	24450	
4675	24242	4675	24242	
4700	24514	4700	24514	
4725	24278	4725	24278	
4750	24700	4750	24700	
4775	24432	4775	24432	
4800	24742	4800	24742	
4825	24705	4825	24705	
4850	24518	4850	24518	
4875	24624	4875	24624	
4900	24651	4900	24651	
4925	24530	4925	24530	
4950	24566	4950	24566	
4975	24756	4975	24756	
5000	24881	5000	24881	
5025	24799	5025	24799	
5050	24851	5050	24851	
5075	24805	5075	24805	
5100	24890	5100	24890	
5125	24961	5125	24961	
5150	24762	5150	24762	
5175	24883	5175	24883	
5200	24861	5200	24861	
5225	25028	5225	25028	
5250	24851	5250	24851	
5275	24909	5275	24909	
5300	25317	5300	25317	
5325	25107	5325	25107	
5350	24738	5350	24738	
5375	24716	5375	24716	
5400	24897	5400	24897	
5425	25080	5425	25080	
5450	25051	5450	25051	
5475	25216	5475	25216	
5500	25175	5500	25175	
5525	25454	5525	25454	
5550	25094	5550	25094	
5575	24907	5575	24907	
5600	25267	5600	25267	
5625	25196	5625	25196	
5650	25172	5650	25172	
5675	24983	5675	24983	
5700	25155	5700	25155	
5725	25330	5725	25330	
5750	25307	5750	25307	
5775	25276	5775	25276	
5800	25258	5800	25258	
5825	25422	5825	25422	
5850	25382	5850	25382	
5875	25248	5875	25248	
5900	25228	5900	25228	
5925	25307	5925	25307	
5950	25294	5950	25294	
5975	25433	5975	25433	
6000	25275	6000	25275	
6025	25455	6025	25455	
6050	25412	6050	25412	
6075	25443	6075	25443	
